Resource ID,Resource,Previous For groups,Reviewed For groups,Changed,Decision note
res-dixie-tech-student-food-pantry,Dixie Technical College Student Food Pantry,Students,Students,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-encircle-st-george-family-dinner,Encircle St. George Family Dinner Taco Tuesday,Children & teens; Young adults; LGBTQ+ people,Children & teens; Young adults; LGBTQ+ people; Families with children,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-grace-episcopal-stgeorge-food-access,Grace Episcopal Church hosted soup kitchen and Utah Food Bank food boxes,Students,Students,No,The saved entry names families and students but no child-specific eligibility.
res-solomons-porch-sunday-feast-friday-pantry,Solomon's Porch Sunday Feast and Friday food pantry,Seniors; People experiencing homelessness,Seniors; People experiencing homelessness,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-switchpoint-food-pantry,Switchpoint Food Pantry,,,No,"Economic hardship is stated without a published income restriction, and family households do not necessarily include minors."
res-full-cart-virtual-food-bank,U.S. Hunger Full Cart virtual food bank waitlist,,,No,"Reviewed against all 25 definitions: the saved record supports broad public/adult access, without an established population-specific service or accommodation."
res-utah-food-bank-csfp,Utah Food Bank Commodity Supplemental Food Program (CSFP),Seniors; Low-income households,Seniors; Low-income households,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-washington-county-coa-meals-on-wheels-st-george,Washington County Council on Aging Meals on Wheels - St. George Active Life Center,Seniors,Seniors; People with disabilities,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-washington-county-coa-st-george-nutrition-program,Washington County Council on Aging St. George Active Life Center senior lunch and computer access,Seniors,Seniors,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-enterprise-valley-medical-clinic,Enterprise Valley Medical Clinic FQHC primary care and dental voucher access,Low-income households; Spanish-speaking people,Low-income households; Spanish-speaking people; Uninsured & underinsured,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-eyecare4kids-utah-mobile-vision,EyeCare4Kids Utah mobile vision clinic and charity eye care,Children & teens,Children & teens; Families with children; Students; People experiencing homelessness,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-family-planning-elevated-free-emergency-contraception,Family Planning Elevated / University of Utah Health free emergency contraception,,,No,Contraception prevents pregnancy; no pregnancy/postpartum service or income restriction is established.
res-focus-eye-center-medicaid-eye-care,Focus Eye Center St. George Medicaid-accepting eye care and optical,,Families with children; Children & teens,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-friends-for-sight-sightfest-glasses,Friends for Sight SightFest and free glasses assistance,Low-income households; Uninsured & underinsured,Low-income households; Uninsured & underinsured; Families with children; Children & teens; Students,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-integrated-medical-clinic-mobile-care,Integrated Medical Clinic and mobile primary care,Uninsured & underinsured,Women; Men; People with disabilities; People with serious illness,Yes,Uninsured patients are only advised to ask about self-pay; actual homebound visits and named chronic-condition care are documented.
res-intermountain-downwinders-clinic-resep,Intermountain Health Downwinders Clinic / RESEP assistance,People with serious illness,People with serious illness,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-intermountain-river-road-instacare,Intermountain Health River Road Clinic InstaCare and financial-assistance access,Low-income households,Low-income households,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-intermountain-st-george-endocrine-diabetes,Intermountain Health St. George Endocrine and Diabetes Clinic,,People with serious illness,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-intermountain-st-george-imaging-center,Intermountain Health St. George Imaging Center,,,No,"Reviewed against all 25 definitions: the saved record supports broad public/adult access, without an established population-specific service or accommodation."
res-new-eyes-evoucher-program,New Eyes E-Voucher Program for prescription eyeglasses,Low-income households,Low-income households,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-retina-associates-southern-utah-retina-specialty-care,Retina Associates of Southern Utah retina specialty care,,People with serious illness,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-revere-health-st-george-campus-imaging-lab,"Revere Health St. George Multi-Specialty Campus, Imaging, and Laboratory",,,No,"Reviewed against all 25 definitions: the saved record supports broad public/adult access, without an established population-specific service or accommodation."
res-smiles-restored-st-george-dental-clinic,"Smiles Restored St. George dental clinic, dentures, and restorative care",,,No,"Reviewed against all 25 definitions: the saved record supports broad public/adult access, without an established population-specific service or accommodation."
res-southern-utah-primary-urgent-care-home,Southern Utah Primary and Urgent Care in-home primary and urgent care,,People with serious illness,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-st-george-kids-dental-pediatric-dental-care,St. George Kids Dental pediatric dental care,Families with children; Children & teens; Spanish-speaking people,Families with children; Children & teens; Spanish-speaking people,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-st-george-lions-club-eyeglasses,St. George Lions Club eyeglasses for people in need,,,No,"Reviewed against all 25 definitions: the saved record supports broad public/adult access, without an established population-specific service or accommodation."
